name,game_internal_id
Feature 66,521
Feature 67,521
Feature 41,521
Feature 65,563
Feature 66,563
Feature 41,563
Feature 67,563
Feature 41,19
Feature 101,19
Feature 102,19
Feature 99,819
Feature 100,819
Feature 9,710
Feature 12,710
Feature 16,710
Feature 13,710
Feature 4,710
Feature 1,710
Feature 5,1308
Feature 18,1308
Feature 82,1308
Feature 14,1308
Feature 1,1308
Feature 1,2102
Feature 103,2102
Feature 51,2102
Feature 27,2102
Feature 1,2106
Feature 2,2106
Feature 104,2106
Feature 4,2106
Feature 27,2106
Feature 1,2117
Feature 7,2117
Feature 9,2117
Feature 24,2117
Feature 4,2117
Feature 1,2118
Feature 43,2118
Feature 13,2118
Feature 4,2118
Feature 5,2118
Feature 1,2128
Feature 7,2128
Feature 24,2128
Feature 4,2128
Feature 9,2128
Feature 1,2142
Feature 25,2142
Feature 62,2142
Feature 26,2142
Feature 4,2142
Feature 1,2144
Feature 10,2144
Feature 27,2144
Feature 105,2144
Feature 4,2144
Feature 1,2147
Feature 16,2147
Feature 5,2147
Feature 8,2147
Feature 4,2147
Feature 1,2148
Feature 10,2148
Feature 9,2148
Feature 24,2148
Feature 4,2148
Feature 1,2156
Feature 18,2156
Feature 27,2156
Feature 1,2163
Feature 12,2163
Feature 62,2163
Feature 26,2163
Feature 4,2163
Feature 1,2169
Feature 10,2169
Feature 9,2169
Feature 13,2169
Feature 4,2169
Feature 1,2168
Feature 44,2168
Feature 103,2168
Feature 51,2168
Feature 4,2168
Feature 71,2168
Feature 62,2168
Feature 1,2205
Feature 10,2205
Feature 4,2205
Feature 5,2205
Feature 106,2205
Feature 1,2202
Feature 9,2202
Feature 12,2202
Feature 26,2202
Feature 4,2202
Feature 1,2201
Feature 12,2201
Feature 27,2201
Feature 1,2211
Feature 6,2211
Feature 7,2211
Feature 5,2211
Feature 106,2211
Feature 4,2211
Feature 1,2220
Feature 55,2220
Feature 12,2220
Feature 27,2220
Feature 1,2223
Feature 10,2223
Feature 13,2223
Feature 4,2223
Feature 9,2223
Feature 1,2230
Feature 62,2230
Feature 107,2230
Feature 71,2230
Feature 4,2230
Feature 1,2239
Feature 6,2239
Feature 51,2239
Feature 11,2239
Feature 9,2239
Feature 4,2239
Feature 1,2244
Feature 10,2244
Feature 9,2244
Feature 13,2244
Feature 4,2244
Feature 1,2249
Feature 12,2249
Feature 9,2249
Feature 24,2249
Feature 4,2249
Feature 1,2258
Feature 25,2258
Feature 62,2258
Feature 26,2258
Feature 4,2258
Feature 1,2278
Feature 18,2278
Feature 26,2278
Feature 4,2278
Feature 9,2278
Feature 1,2279
Feature 25,2279
Feature 62,2279
Feature 6,2279
Feature 108,2279
Feature 4,2279
Feature 1,2299
Feature 35,2299
Feature 4,2299
Feature 9,2299
Feature 107,2299
Feature 1,1262
Feature 12,1262
Feature 9,1262
Feature 13,1262
Feature 4,1262
Feature 1,1943
Feature 9,1943
Feature 18,1943
Feature 24,1943
Feature 14,1943
Feature 1,2306
Feature 10,2306
Feature 9,2306
Feature 35,2306
Feature 4,2306
Feature 1,2308
Feature 9,2308
Feature 12,2308
Feature 18,2308
Feature 64,2308
Feature 4,2308
Feature 1,2309
Feature 7,2309
Feature 35,2309
Feature 4,2309
Feature 9,2309
Feature 1,2318
Feature 9,2318
Feature 10,2318
Feature 35,2318
Feature 4,2318
Feature 1,2326
Feature 7,2326
Feature 25,2326
Feature 9,2326
Feature 35,2326
Feature 4,2326
Feature 1,2332
Feature 6,2332
Feature 51,2332
Feature 3,2332
Feature 4,2332
Feature 5,2332
Feature 1,2331
Feature 2,2331
Feature 5,2331
Feature 8,2331
Feature 4,2331
Feature 5,939
Feature 12,939
Feature 8,939
Feature 14,939
Feature 1,939
Feature 1,2558
Feature 9,2558
Feature 29,2558
