gameid,playerid,rounds
2670,345,736
628,346,79
891,347,22
845,347,104
786,347,334
520,347,100
1348,347,50
825,347,164
508,347,404
1158,347,79
1502,347,670
1886,347,317
198,347,152
771,347,100
164,347,54
98,347,20
1449,348,1
16,349,46
1985,350,43
1657,350,2
508,350,685
981,351,10
162,352,3758
612,352,221
12,353,4
1347,353,2
1886,354,14
1886,355,17
1043,355,620
1886,356,146
1886,357,2
1657,357,8
2323,358,24
98,358,29
973,358,24
520,358,37
164,358,87
822,358,21
2311,359,18
2168,359,7
508,360,6
19,361,14
2090,361,117
2323,362,60
508,363,37
1485,364,49
822,365,561
649,366,40
16,366,4
628,367,98
981,367,171
2238,368,843
2138,368,3757
2676,369,124
959,370,4486
1449,371,89
819,372,94
1657,372,23
508,373,5
508,374,61
813,374,113
1887,375,75
1886,375,317
786,375,345
508,375,107
1657,376,11
243,377,95
1886,377,2421
1503,378,59
302,378,42
2881,379,128
1886,379,237
2547,380,37
1689,381,731
1657,382,10
1444,383,1101
508,383,96
198,384,72
825,384,71
520,384,63
2670,384,194
2116,384,35
243,384,6
164,384,243
964,384,13
162,385,496
981,385,329
456,385,88
2668,385,95
2202,385,103
1411,386,337
1886,387,19688
1485,388,2626
1941,389,94
991,390,6
1449,391,6
2484,391,2
1411,391,110
1657,392,943
807,392,46
686,393,36
819,394,7
1657,394,3
706,395,28
959,395,205
603,395,5
2734,395,5
2670,395,5
126,395,159
508,396,98
2557,397,15
965,397,207
452,397,9
2671,397,2
2323,398,207
2554,398,481
1037,398,5175
508,398,81
620,398,23
2669,398,230
1657,399,1
1657,400,27
168,401,7
1449,401,21
1562,401,2
2484,401,1
655,401,36
1657,401,1
1943,402,44
1657,402,1
1657,403,7
1411,404,182
467,405,28
819,406,2
1657,406,113
672,406,11
1449,406,2
1277,406,292
1485,407,1032
2547,408,108
191,409,167
1657,410,92
1562,411,312
11,412,66
1657,413,1
164,414,112
1713,414,67
1951,414,57
190,414,57
2663,414,61
1356,414,1375
711,414,171
1017,414,249
2100,414,117
2670,414,886
1331,414,104
2970,414,2516
1311,414,1059
686,414,89
2885,414,27
2089,414,260
1886,415,63
786,415,80
16,415,24
164,415,26
2141,415,10
191,415,32
435,416,1
162,417,159
456,417,68
508,418,180
838,418,74
1886,419,124
16,420,3047
508,420,524
758,420,46
1562,421,18
168,421,1
1371,422,6
467,423,663
883,423,2008
1158,423,939
2670,423,117
1358,423,2378
1037,423,762
273,424,129
576,425,1142
1657,425,3
819,426,1
1985,427,101
1886,427,1920
16,427,92
162,427,492
508,427,44
467,428,30
125,428,36
346,428,25
1249,428,59
1568,428,5
453,428,155
1012,428,17
750,428,39
1485,428,22
2885,428,36
2970,428,22
456,429,156
272,429,151
2554,430,53
883,430,29
1886,430,8
1985,430,5
1934,430,183
474,430,4
1657,430,1
612,431,382
508,432,16
1657,432,1
467,432,10
1657,433,1
825,434,92
1568,434,40
164,435,217
2885,435,50
89,435,35
465,435,64
1713,435,545
1670,435,106
715,435,130
819,435,1
1985,436,5
508,437,38
1657,438,2
1181,439,25
981,440,5
2104,441,109
2001,441,203
2881,441,36
954,441,269
2128,441,195
1985,441,47
2286,441,578
1409,441,23
612,441,395
2102,441,267
164,441,107
1934,441,156
1886,441,471
628,442,12
1296,443,8
12,443,2
508,443,23
1657,443,1
164,444,22
1657,445,2
1568,446,23
1158,446,58
822,446,69
693,446,17
1713,446,48
1257,447,47
1037,448,14
1657,449,3
1568,449,25
1657,450,11
1555,451,5
508,451,50
504,452,7
625,453,6
1657,454,23
1657,455,4
19,455,34
979,456,11
1657,456,2
1257,456,268
1331,456,15
819,457,107
1657,458,1
508,458,696
628,459,2684
226,459,8
41,459,31
1017,459,247
1657,460,3
1657,461,26
2316,461,157
198,461,24
320,461,1
2156,461,2506
627,461,188
807,461,314
329,461,101
822,461,350
1713,461,437
845,461,14
2547,461,23
1043,461,122
2958,461,41
1506,461,90
367,461,113
1370,461,86
2672,461,150
686,461,3211
1985,461,197
406,462,292
1485,462,58
1985,462,41
164,463,135
508,463,493
162,464,256
620,464,208
1555,464,6
164,464,429
1257,464,427
456,464,207
1562,465,3
16,466,100
249,466,231
1257,467,612
469,468,1790
1358,468,261
1311,468,152
1587,468,137
2148,468,119
1547,468,189
1132,468,69
2958,468,65
2671,468,326
1690,468,978
1938,468,701
686,468,66
2661,468,85
2256,468,382
1562,469,3
1886,470,614
1886,471,3177
12,472,5
959,473,218
2547,473,26
1492,474,167
2106,474,56
2213,474,74
711,474,84
2110,474,145
2241,474,87
1886,475,110
467,475,52
1485,476,85
1485,477,553
1657,478,3
1591,479,1
1886,480,437
2230,480,10
490,480,66
749,480,28
1087,480,120
825,481,53
711,481,17
98,481,38
520,481,72
164,481,78
1411,481,28
1657,482,2
1886,483,210
164,483,77
711,483,59
508,483,20
367,483,18
30,484,105
162,485,256
508,485,54
1584,486,41
1657,486,8
2958,487,2
2554,487,1
1985,488,329
1485,488,1
78,489,2
12,490,2
1449,490,27
1555,491,9
1249,492,6
711,493,4
508,493,1
2238,493,68
1657,493,1
456,494,1741
1568,495,222
1657,496,265
524,496,332
164,497,137
1657,498,13
162,498,43
845,498,54
820,498,10
1411,499,37
1657,499,119
249,500,125
1657,501,14
2970,502,4
1311,502,2
508,503,17
1657,503,1
1886,504,737
825,505,9
1485,505,156
246,505,8
1985,505,38
2167,505,1
1886,506,3
508,506,134
628,507,37
49,507,26
1657,508,2
1449,508,1
1968,509,1307
1562,510,23
819,511,12
2885,512,51
1886,513,90
2663,513,15
406,513,153
2669,513,91
2555,513,124
1485,513,72
786,514,153
1886,514,217
1657,515,11
1657,516,1
1657,517,41
686,518,73
12,518,14
452,518,81
456,518,149
882,519,3
1562,520,19
2143,521,55
1657,521,17
2126,521,40
164,521,247
845,521,137
820,522,115
2479,522,8
2258,523,14
959,523,425
2279,523,345
98,524,80
2881,525,16
2318,525,5
600,526,240
1026,526,16
752,526,155
508,527,145
1657,528,1
2323,529,22
1506,529,5
2670,529,91
1668,529,10
2970,529,11
2001,529,30
883,529,15
164,530,79
2090,530,13
508,530,17
46,530,19
1568,531,3
41,531,1
508,532,503
164,533,165
508,533,527
1657,534,1091
467,535,4
456,536,98
508,537,539
1257,538,361
819,538,14
98,539,1843
164,539,961
910,540,178
467,541,149
1485,542,19
2678,542,100
1132,542,6
628,542,84
1262,542,184
467,542,35
508,542,4215
1143,542,12
1886,542,171
1470,542,31
2678,543,171
1886,543,4620
749,543,325
214,543,28
1934,544,1
2223,545,1
2243,545,10
2213,545,54
1886,545,13
711,545,20
2130,545,7
330,546,149
2681,546,154
2220,546,374
